Gene name (primary),Gene names (all)
CCDC71,CCDC71
PARP2,ADPRT2/ADPRTL2/hCG_40481/PARP2
PNN,DRS/MEMA/PNN
RPS5,RPS5
ANXA2,ANX2/ANX2L4/ANXA2/CAL1H/LPC2D
ATRX,ATRX/RAD54L/XH2
ALDH18A1,ALDH18A1/GSAS/P5CS/PYCS
MRE11,HNGS1/MRE11/MRE11A
DDX10,DDX10
RPL37A,hCG_16380/RPL37A
HELLS,hCG_39170/HELLS/Nbla10143/PASG/SMARCA6
H1FX,H1FX
DDX42,DDX42
RPL10A,NEDD6/RPL10A
CCNT2,CCNT2
ZNF302,ZNF135L/ZNF140L/ZNF302/ZNF327
BMS1,BMS1/BMS1L/KIAA0187
EBNA1BP2,EBNA1BP2/EBP2/hCG_2031782
ELOA,ELOA/hCG_37551/MSTP059/TCEB3
RAN,ARA24/hCG_1744585/OK/SW-cl.81/RAN
TXN,TRDX/TRX/TRX1/TXN
RPL35A,GIG33/RPL35A
DHX37,DDX37/DHX37/KIAA1517
HDGFL3,CGI-142/HDGF2/HDGFL3/HDGFRP3
RNPS1,hCG_1989969/LDC2/RNPS1
SLF1,ANKRD32/BRCTD1/SLF1
RRP9,RNU3IP2/RRP9/U355K
ATAD5,ATAD5/C17orf41/FRAG1
BOD1L1,BOD1L/BOD1L1/FAM44A/KIAA1327
ASH1L,ASH1L/KIAA1420/KMT2H
RBM15,OTT/OTT1/RBM15
PHF3,KIAA0244/PHF3
PRDM2,KMT8/PRDM2/RIZ
RACGAP1,KIAA1478/MGCRACGAP/RACGAP1
CDCA2,CDCA2
ACIN1,ACIN1/ACINUS/KIAA0670
RSF1,HBXAP/RSF1/XAP8
SDAD1,NUC130/SDAD1
GLYR1,GLYR1/HIBDL/NP60
CKAP2,CKAP2/LB1/TMAP
NOP2,NOL1/NOP2/NSUN1
SART1,SART1
RPS6,hCG_1741512/OK/SW-cl.2/RPS6
RBMXL1,RBMXL1
ZKSCAN2,ZKSCAN2/ZNF694
ESCO2,ESCO2
RREB1,FINB/RREB1
ISG20L2,HSD38/HSD-38/ISG20L2
PHF2,CENP-35/KIAA0662/PHF2
RAD51AP1,PIR51/RAD51AP1
SPEN,KIAA0929/MINT/SHARP/SPEN
PRRC2B,BAT2L/BAT2L1/KIAA0515/PRRC2B
BUD13,BUD13
ARL6IP4,ARL6IP4
BBX,BBX/HBP2
MED1,ARC205/CRSP1/CRSP200/DRIP205/DRIP230/MED1/PBP/PPARBP/PPARGBP/RB18A/TRAP220/TRIP2
RPL29,RPL29
CAST,CAST
KIFC1,HSET/KIFC1/KNSL2
JARID2,JARID2/JMJ
ARID5B,ARID5B/DESRT/MRF2
BRWD1,BRWD1/C21orf107/WDR9
TP53BP1,TP53BP1
ANLN,ANLN
CTDSPL2,CTDSPL2/HSPC058/HSPC129
SCAF1,SCAF1/SFRS19/SRA1
PWWP2A,KIAA1935/MST101/PWWP2A
POLR1D,hCG_2020048/POLR1D
GTF3C5,CDABP0017/GTF3C5/hCG_31454
TSR1,KIAA1401/TSR1
MYC,BHLHE39/hCG_15917/MRTL/MYC
ZFP64,ZFP64/ZNF338
ZNF84,ZNF84
ZNF445,ZKSCAN15/ZNF168/ZNF445
ZNF749,ZNF749
PUM3,cPERP-C/KIAA0020/PUF-A/PUM3/XTP5
CDK12,CDK12/CRK7/CRKRS/KIAA0904
QSER1,QSER1
SLF2,C10orf6/FAM178A/SLF2
NOL12,NOL12
RBM34,KIAA0117/RBM34
MAP4,MAP4
ZNF354A,EZNF/HKL1/TCF17/ZNF354A
WDR70,WDR70
JPT2,C16orf34/HN1L/JPT2/L11
MGA,KIAA0518/MAD5/MGA
GPALPP1,AD029/GPALPP1/hCG_32794/KIAA1704/LSR7
RBM14,RBM14/SIP
ZNF668,ZNF668
BAZ2B,BAZ2B/KIAA1476
ZBTB41,FRBZ1/ZBTB41
ZFP91,FKSG11/ZFP91/ZNF757
CDYL,CDYL/CDYL1
C1orf131,C1orf131/cPERP-A/hCG_14915
NOP14,C4orf9/NOL14/NOP14/RES4-25
KMT2B,HRX2/KIAA0304/KMT2B/MLL2/MLL4/TRX2/WBP7
ZNF771,ZNF771
RPL26,RPL26
SP110,hCG_32956/SP110
HNRNPDL,hCG_22986/HNRNPDL/HNRPDL/JKTBP
HMGN4,HMG17L3/HMGN4/NHC
RPL6,RPL6/TXREB1
CIR1,CIR/CIR1
ANKRD11,ANCO1/ANKRD11
ZNF182,KOX14/ZNF182/ZNF21
DMAP1,DMAP1/KIAA1425
ZC3H18,NHN1/ZC3H18
LRIF1,C1orf103/LRIF1/RIF1
ZNF317,KIAA1588/ZNF317
